Name,ABN,Total income $,Taxable income $,Tax payable $,Income year
ALLERGAN AUSTRALIA PTY LIMITED,85000612831,244439119,21706010,6511803,2020-21
ALLERMUIR HOLDINGS PTY LTD,29104800482,355608072,23316733,6973620,2020-21
ALLIANCE AVIATION SERVICES LIMITED,96153361525,346250365,15500956,4650287,2020-21
ALLIANZ AUSTRALIA LIMITED,21000006226,5140772428,117033936,34776651,2020-21
ALLIANZ TECHNOLOGY SE,68344730676,107331194,0,0,2020-21
ALLNEX AUSTRALIA PTY. LTD.,24160397768,250454075,12815257,0,2020-21
ALMONDCO AUSTRALIA LIMITED,81062887352,225619004,963529,289059,2020-21
ALS LIMITED,92009657489,740297847,84307630,23646955,2020-21
ALSCO PTY LIMITED,26000435629,266080965,30856718,9178372,2020-21
ALSTOM TRANSPORT AUSTRALIA PTY LTD,68165157451,277824891,35636148,10690844,2020-21
ALTIUM LIMITED,93009568772,232015695,146283713,30767140,2020-21
ALTOMONTE HOLDINGS PTY LIMITED,18000821910,656847612,28353947,8494949,2020-21
ALUMINA & BAUXITE COMPANY LTD,52692964098,223699657,0,0,2020-21
ALUMINA LIMITED,85004820419,248225261,346149112,0,2020-21
ALUMINIUM SPECIALTIES GROUP PTY LTD,63001252259,339880201,9447813,2834344,2020-21
AMA GROUP LIMITED,50113883560,643400952,31593544,9478063,2020-21
AMARI METALS AUSTRALIA PTY LTD,13004496128,291547942,0,0,2020-21
AMAYSIM AUSTRALIA LTD,65143613478,388603293,80803948,23774540,2020-21
AMAZON COMMERCIAL SERVICES PTY LTD,30616935623,1127475369,68970752,20654770,2020-21
AMAZON CORPORATE SERVICES PTY LTD,95082931600,642331998,70232790,21069837,2020-21
AMAZON WEB SERVICES AUSTRALIA PTY LTD,63605345891,743866810,130603281,39180984,2020-21
AMCOR PTY LTD,62000017372,1335579873,0,0,2020-21
AMERICAN EXPRESS AUSTRALIA LIMITED,92108952085,1205000000,87513061,11681650,2020-21
AMERICOLD AUSTRALIAN HOLDINGS PTY LTD,48117491291,318240419,22742794,6822838,2020-21
AMEROPA AUSTRALIA PTY LTD,21009504394,447291873,6998567,1801564,2020-21
AMGEN AUSTRALIA PTY LIMITED,31051057428,436855567,44337978,7209537,2020-21
AMOBEE ANZ PTY LTD,93166886184,121881148,0,0,2020-21
AMP CAPITAL HOLDINGS LIMITED,69078651966,581563125,12206401,3372797,2020-21
AMP LIMITED,49079354519,78219166840,1855169504,235471939,2020-21
AMPCONTROL LIMITED,28000915542,240301049,23168874,4735504,2020-21
AMPHORA AUSTRALIA PTY LTD,50625199322,488632518,0,0,2020-21
AMPLIFON AUSTRALIA HOLDING PTY LTD,34147231561,183590467,35064614,10500986,2020-21
AMPLIFY BIDCO PTY LTD,30636456623,100636761,0,0,2020-21
AMPOL LTD,40004201307,20055611649,0,0,2020-21
ANDREWS MEAT INDUSTRIES PTY LTD,16600428537,192903604,14743461,3780181,2020-21
ANGLO AMERICAN AUSTRALIA LIMITED,47004892371,2670130051,0,0,2020-21
ANGLOGOLD INVESTMENTS AUSTRALIA PTY LTD,48090112459,1433185496,314040981,93615117,2020-21
